noun,gender
Haus,neuter
Auto,neuter
Stadt,feminine
Schule,feminine
Wasser,neuter
Bild,neuter
Schuh,masculine
Mann,masculine
Frau,feminine
Hund,masculine
Katze,feminine
Baum,masculine
Garten,masculine
Kopf,masculine
Hand,feminine
Fuß,masculine
Auge,neuter
Ohr,neuter
Maus,feminine
Fisch,masculine
Vogel,masculine
Huhn,neuter
Rind,neuter
Schwein,neuter
Pferd,neuter
Löwe,masculine
Tiger,masculine
Affe,masculine
Elefant,masculine
Giraffe,feminine
Kuh,feminine
Ziege,feminine
Schaf,neuter
Lamm,neuter
Bär,masculine
Wolf,masculine
Fuchs,masculine
Hase,masculine
Kaninchen,neuter
Adler,masculine
Eule,feminine
Pinguin,masculine
Schildkröte,feminine
Krokodil,neuter
Eidechse,feminine
Spinne,feminine
Biene,feminine
Fliege,feminine
Schmetterling,masculine
Mücke,feminine
